idwell,subphase,sum(subphase_total_days)
05E3D57291A54C518D4DCA84D752B455,"Jet 36"" Casing (914mm)",0.72
570E8D3E150A41109B1E19251B48BCE8,Cleanout Run,3.6
F224034A354A421EAA351918E67E8A2E,Temporary Plug & Abandonment (TP&A),2.73
F99E3C43EA4C44639A3785ED21F0CE05,Temporary Plug & Abandonment (TP&A),2.06
12FF4C6C40C4446C84BF59EF1AED9772,Run Lower Completion,4.19
15F41B08E003423C8A316032A7C9AE6A,Run / Test BOP,3.81
A1D51D5595D141D08D1DAA0D15EA4C09,Re-entry,2.42
D8702AE6429945528A70D4D55E5F0755,"Drill 8-1/2"" Hole Section (216mm)",7.03
98837B6835314A89AAB2402BCF913D36,Temporary Plug & Abandonment (TP&A),1.4
192DDAD7348544EB83E94E1AA39DF32B,"Run 13-5/8"" Casing / Tieback (346mm)",1.25
8388E7D9A9884BC28D724C4DEF9D148E,"Jet 36"" Casing (914mm)",0.06
3353742D96D54521BE96EED15BEA548E,"Drill 28"" Hole Section (711mm)",2.27
A3E87A9132C04B26AF6B28A541929A59,"Drill 8-1/2"" Hole Section (216mm)",4.46
7E67BA30CAE942C7A3DE18A4C98C52C3,Pull BOP,4.79
7BAD924A0777472D9A50F4C01256A71A,"Run 22"" Casing (559mm)",0.73
4E3325C8D54540018590B97F82FD4A2C,"Run 9-7/8"" Liner (251mm)",3.61
F99E3C43EA4C44639A3785ED21F0CE05,Wireline,7
5B93D63F99F041CF975816077D909102,"Condition 12-1/4"" Hole (311mm)",8.72
19C1D60E8C6547969453DACA80DDC64B,"Run 13-5/8"" Casing / Tieback (346mm)",1.95
A96AC5B5681C42E182815B2A03321EF7,"Drill 8-1/2"" Hole Section (216mm)",null
768A75E188C948268079F3BFBEAA5BFC,Run Packer,0.79
27C70E0DB1164D29BA1F43D1C1A67AD4,"Run 20"" Casing (508mm)",0.81
A96AC5B5681C42E182815B2A03321EF7,"Run 16"" Liner (406mm)",6.75
052C9E72E57846CF9AA1A7999558FAB5,"Drill 12-1/4"" Hole Section (311mm)",7.21
055FD8E6091E4FEC8A90CDEA84E0BED2,"Run 13-5/8"" Casing / Tieback (346mm)",2.25
DCADAAC3B0E54E66BA63DF6A3191C2B5,Pull BOP,0.24
DCADAAC3B0E54E66BA63DF6A3191C2B5,"Jet 36"" Casing (914mm)",1.13
F274D9274D6D48BB96115E48151A352F,Temporary Plug & Abandonment (TP&A),2.88
8766467DC774438D9AC41076EF4E2CDD,Run Lower Completion,5.36
17F18171D4844302ADA168C723ECDF4F,Pull BOP,0.58
3E1FCFD5C8884B2E8CD7089DAD3CC779,Sidetrack (whipstock),5.9
5604C053A0D84498A65094FFFC6F61D5,"Run 20"" Casing (508mm)",1.67
5BEEF1D9EFA7406CA03D23FB1BA2441E,"Drill 17-1/2"" x 20"" Hole Section (444.5x508mm)",3.51
FA9EAE3C713E477892722D1028963F22,Fluid Displacement,5.35
FB2897CC7A4D4161BC438AD052D71715,"Drill 8-1/2"" x 9-1/2"" Hole Section (216x241mm)",5.6
FF5A9E0299714949BB7113DE5A45FC58,"Run 11-7/8"" Liner (302mm)",null
46EEF60EB010439BBBD01541CAE71BB8,"Run 18"" Liner (457mm)",3.24
332C687CE7564366AF3F2F5DA1883602,Temporary Plug & Abandonment (TP&A),3.32
E36B920A7DEB4B2D96D9287AC9595E17,"Drill 17-1/2"" Hole Section (444.5mm)",4.1
754271E79F2D47E2A6A13FDBA918D5D6,Pull BOP,1.92
D9290A60CB6B47E4A86A579B6FDE01BC,"Run 13-5/8"" Casing / Tieback (346mm)",5.21
2FF9338FEEBC45C5A6DF5D2F2970E6BD,Re-entry,1.93
37849EEF65EF455DB9026D647C1B4800,Move In & Rig Up,0.53
510684F5A97743FEA62630B7849D2CE9,Fluid Displacement,7.19
570E8D3E150A41109B1E19251B48BCE8,Run Upper Completion,11.11
192DDAD7348544EB83E94E1AA39DF32B,Run Lower Completion,5.71
ECE695FAA11D4D2BA7338EE03055B7B0,"Drill 26"" Hole Section (660mm)",2.4
055FD8E6091E4FEC8A90CDEA84E0BED2,Coring,7.58
D1AC8790A3AD4CB9896F774EB0B25888,"Drill 28"" Hole Section (711mm)",1.23
F0C1AEB57DEC4AFFAA75A87DB3CE3B54,Move In & Rig Up,3.01
1705C7BB85B1436F8B46C50009FD040E,"Jet 36"" Casing (914mm)",0.38
AA3D5BC92DFE47D7A6C4ABDF93794AA8,"Run 9-7/8"" x 10-3/4"" Casing (251x273mm)",2.21
2FF9338FEEBC45C5A6DF5D2F2970E6BD,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",1.84
3E1FCFD5C8884B2E8CD7089DAD3CC779,"Drill 8-1/2"" Hole Section (216mm)",4.77
6BBC552DAD9D436F9CA85E67E61E2CD2,"Run 13-3/8"" Casing (340mm)",1.42
3CD6C7B1F8534AE489C0D91C0B037CCE,"Drill 12-1/4"" Hole Section (311mm)",5.73
F99E3C43EA4C44639A3785ED21F0CE05,"Drill 8-1/2"" x 9-1/2"" Hole Section (216x241mm)",6.65
C5D4F6A03FFC41D79F999AA5A1247C35,Temporary Plug & Abandonment (TP&A),1.63
77E60965509A4C0A8D8D06CE60B89470,"Drill 12-1/4"" x 14"" Hole Section (311x356mm)",9.98
A3E87A9132C04B26AF6B28A541929A59,"Drill 17-1/2"" Hole Section (444.5mm)",3.33
61418BB6CEB248E29AC01F6F6BE82AB4,Cleanout Run,2.69
37849EEF65EF455DB9026D647C1B4800,"Drill 28"" Hole Section (711mm)",2.23
54023A25026948EE937426EF9CEED755,"Drill 8-1/2"" Hole Section (216mm)",null
AA3D5BC92DFE47D7A6C4ABDF93794AA8,Re-entry,1.92
67C1FDE7B2B4483E87B7EA005353C6BA,"Drill 12-1/4"" Hole Section (311mm)",8.95
E86F16784BA24EC08E4E4DE62F1C84FE,"Run 13-3/8"" Casing (340mm)",1.15
6BBC552DAD9D436F9CA85E67E61E2CD2,"Drill 12-1/4"" Hole Section (311mm)",6.75
313023AD8D9E4A67AABAA94A3B566B06,"Drill 12-1/4"" Hole Section (311mm)",9.49
754271E79F2D47E2A6A13FDBA918D5D6,Temporary Plug & Abandonment (TP&A),3.78
4AB956891F3E45DAB2ADDF0625B417A6,Well Clean Up,1.71
B4672CA1121F476E8EADCB335E7A01C3,Run Lower Completion,4.77
A96AC5B5681C42E182815B2A03321EF7,"Drill 14-1/2"" x 17-1/2"" Hole Section (368x444.5mm)",8.36
14E041CC0847479B9B0D9A4C6F306814,"Drill 12-1/4"" Hole Section (311mm)",6.63
0F286F8CB5074CF1B48E80F800A66A69,"Run 9-7/8"" Liner (251mm)",5.92
175BA5DBC475495FBEA7060439C5B660,Move In & Rig Up,1.04
0F41F5BB467844D6BEE17EDD3438AF05,Pull BOP,2.73
AA3D5BC92DFE47D7A6C4ABDF93794AA8,Run Upper Completion,14.27
A74B93C78CAE42E998A3AE559AA0F432,"Run 13-3/8"" Casing (340mm)",1.53
77E60965509A4C0A8D8D06CE60B89470,Move In & Rig Up,0.56
C083D8787D6545CEA0C45BCD28B6995D,Run / Test BOP,19
F224034A354A421EAA351918E67E8A2E,Fluid Displacement,7.71
19C1D60E8C6547969453DACA80DDC64B,Open Hole Logging,13.03
FA9EAE3C713E477892722D1028963F22,"Drill 28"" Hole Section (711mm)",2.15
D57CA0C65A2C4A7FB26AD29FC5D658AC,"Run 9-7/8"" Liner (251mm)",1.92
7E67BA30CAE942C7A3DE18A4C98C52C3,Run / Test BOP,1.15
12FF4C6C40C4446C84BF59EF1AED9772,Move In & Rig Up,0.29
4AB956891F3E45DAB2ADDF0625B417A6,"Drill 28"" Hole Section (711mm)",1.66
D1780C47B785497F9E4472B2B916658F,"Run 20"" Casing (508mm)",0.75
D1AC8790A3AD4CB9896F774EB0B25888,Run Upper Completion,2.98
C76E0A95822C4FE69B439D79BC046367,Rig Down & Move Out,0.52
12FF4C6C40C4446C84BF59EF1AED9772,Temporary Plug & Abandonment (TP&A),2.28
98837B6835314A89AAB2402BCF913D36,"Jet 36"" Casing (914mm)",0.46
54023A25026948EE937426EF9CEED755,Open Hole Logging,4.59
4E3325C8D54540018590B97F82FD4A2C,"Drill 12-1/4"" Hole Section (311mm)",6.09
73BF435F6C564EC390725FAF4F50D3E3,"Drill 8-1/2"" Hole Section (216mm)",5.85
1C6899B4790F49CFBD844BBFFC958D16,"Drill 28"" Hole Section (711mm)",2.65
AA3D5BC92DFE47D7A6C4ABDF93794AA8,"Run 20"" Casing (508mm)",1.13
